Type,Results
Nonlinear,"[np.float64(-3.5194433541838634), np.float64(-3.523236222125348), np.float64(-3.525007137977287), np.float64(-3.5285698702931754), np.float64(-3.5364270364527925), np.float64(-3.54313067530353), np.float64(-3.5530035857959774), np.float64(-3.5649104363948823), np.float64(-3.567101135877124), np.float64(-3.59274279848961), np.float64(-3.610914897819896), np.float64(-3.6125275176941614), np.float64(-3.6314924599541882), np.float64(-3.658639511757997), np.float64(-3.6806286063637117)]"
Nonlinear,"[np.float64(-3.5194435413097835), np.float64(-3.522201460612621), np.float64(-3.526058112173166), np.float64(-3.527130516958863), np.float64(-3.532422450736007), np.float64(-3.5457639431764676), np.float64(-3.5548450660395474), np.float64(-3.5612641275612305), np.float64(-3.5726238117977687), np.float64(-3.5866461959097933), np.float64(-3.6024060748673037), np.float64(-3.614478442697191), np.float64(-3.6340124227147044), np.float64(-3.661846805282778), np.float64(-3.680628631477873)]"
Nonlinear,"[np.float64(-3.5194428689512165), np.float64(-3.5221556752022707), np.float64(-3.524257650225593), np.float64(-3.530039849867606), np.float64(-3.535852667923308), np.float64(-3.545037365206099), np.float64(-3.554477697308016), np.float64(-3.5624666161627943), np.float64(-3.5683880170684006), np.float64(-3.592686217939388), np.float64(-3.605878096554818), np.float64(-3.6192360739134983), np.float64(-3.641885593877703), np.float64(-3.6673504925179827), np.float64(-3.680627237416047)]"
Nonlinear,"[np.float64(-3.519443085159935), np.float64(-3.5227028505251496), np.float64(-3.526572861862654), np.float64(-3.530295181502396), np.float64(-3.532505563153478), np.float64(-3.5422932977885466), np.float64(-3.5566317261043423), np.float64(-3.563704187516066), np.float64(-3.5763281709642456), np.float64(-3.594561637895083), np.float64(-3.6006228209466826), np.float64(-3.6163584223901353), np.float64(-3.6348144978639993), np.float64(-3.6548522450996757), np.float64(-3.680627443010735)]"
Nonlinear,"[np.float64(-3.5194432915153016), np.float64(-3.521229086671269), np.float64(-3.524822883152055), np.float64(-3.5308529424718085), np.float64(-3.5406518870315864), np.float64(-3.5429192768817757), np.float64(-3.551024648731527), np.float64(-3.5687951529596376), np.float64(-3.566161006814866), np.float64(-3.585198559237199), np.float64(-3.596049803977735), np.float64(-3.6093810793237253), np.float64(-3.6461845225862817), np.float64(-3.6638431931159516), np.float64(-3.6806291675833336)]"
Nonlinear,"[np.float64(-3.519443275951687), np.float64(-3.5228548792325114), np.float64(-3.523695169019703), np.float64(-3.5324430734000742), np.float64(-3.532275422170155), np.float64(-3.5411851282371742), np.float64(-3.5506972220250077), np.float64(-3.5548449891109044), np.float64(-3.573609520595312), np.float64(-3.588575340084901), np.float64(-3.6049099957509725), np.float64(-3.6202969985635036), np.float64(-3.639823281382064), np.float64(-3.664376670660772), np.float64(-3.6806285534719336)]"
Nonlinear,"[np.float64(-3.519442678000189), np.float64(-3.5231996891718325), np.float64(-3.525821515411316), np.float64(-3.529146416568956), np.float64(-3.534979702877962), np.float64(-3.5449440851836016), np.float64(-3.5534324858595596), np.float64(-3.5567586692377517), np.float64(-3.5734261175937263), np.float64(-3.591158517659437), np.float64(-3.5999622493847596), np.float64(-3.6179887871289225), np.float64(-3.6381625013103758), np.float64(-3.6516905418161514), np.float64(-3.6806268311315193)]"
Nonlinear,"[np.float64(-3.519443079218547), np.float64(-3.5212167587037015), np.float64(-3.5258912795948447), np.float64(-3.528803347733543), np.float64(-3.5341567293404523), np.float64(-3.544572203071368), np.float64(-3.5491763602417166), np.float64(-3.563326136881983), np.float64(-3.574798705302726), np.float64(-3.5746197568645357), np.float64(-3.6019693929904406), np.float64(-3.617426938764595), np.float64(-3.634194319330618), np.float64(-3.659781254723839), np.float64(-3.6806289511199566)]"
Nonlinear,"[np.float64(-3.51944324534162), np.float64(-3.5221051589232673), np.float64(-3.5251720521845016), np.float64(-3.528245406189683), np.float64(-3.5321084463394286), np.float64(-3.54570105781454), np.float64(-3.5514123799673314), np.float64(-3.5589545722582443), np.float64(-3.577201742682007), np.float64(-3.5870516611717562), np.float64(-3.6041635877285216), np.float64(-3.6203159934966607), np.float64(-3.6387368183878834), np.float64(-3.660486330889171), np.float64(-3.680627317058395)]"
Nonlinear,"[np.float64(-3.519443231904688), np.float64(-3.5209474024469216), np.float64(-3.5238293788678163), np.float64(-3.5364330430337674), np.float64(-3.5388452059499826), np.float64(-3.543554452010312), np.float64(-3.547343634403319), np.float64(-3.5663604848613204), np.float64(-3.5734580628188155), np.float64(-3.576910285076792), np.float64(-3.597774460164487), np.float64(-3.6157282397198287), np.float64(-3.6510013171545666), np.float64(-3.653449616684725), np.float64(-3.680628160888773)]"
Nonlinear,"[np.float64(-3.5194427606039653), np.float64(-3.521205234476696), np.float64(-3.5261699130203255), np.float64(-3.5295727778265302), np.float64(-3.537273086132444), np.float64(-3.541819742348281), np.float64(-3.548678788351424), np.float64(-3.5595122825430394), np.float64(-3.5698454446729784), np.float64(-3.5866132686510923), np.float64(-3.599614230123734), np.float64(-3.619566126820189), np.float64(-3.6336338037361884), np.float64(-3.6580684868131925), np.float64(-3.6806299943245904)]"
Nonlinear,"[np.float64(-3.5194430304506454), np.float64(-3.5214389592318867), np.float64(-3.525565959225503), np.float64(-3.5303986307083903), np.float64(-3.537557275110771), np.float64(-3.544380162213997), np.float64(-3.5519990899189224), np.float64(-3.5625312968603566), np.float64(-3.5763185961455406), np.float64(-3.5782698115132234), np.float64(-3.6007986997291255), np.float64(-3.623318541889489), np.float64(-3.631836202596105), np.float64(-3.6531732409919186), np.float64(-3.6806285521353743)]"
Nonlinear,"[np.float64(-3.5194433822699693), np.float64(-3.523518966213274), np.float64(-3.5250064811517916), np.float64(-3.525282826794978), np.float64(-3.5365205653617124), np.float64(-3.540576298357621), np.float64(-3.545939984428429), np.float64(-3.5586973015796843), np.float64(-3.5703246139997873), np.float64(-3.5820466445417765), np.float64(-3.6002154192627813), np.float64(-3.6128572604312694), np.float64(-3.6389584441815828), np.float64(-3.65482013799965), np.float64(-3.680629356047575)]"
Nonlinear,"[np.float64(-3.519442825798194), np.float64(-3.5208769546914596), np.float64(-3.5264731199660133), np.float64(-3.5312033973212777), np.float64(-3.5339039212853223), np.float64(-3.544197660936277), np.float64(-3.5527771839075513), np.float64(-3.5660239497465227), np.float64(-3.570390553098207), np.float64(-3.5842303168331), np.float64(-3.600700646964924), np.float64(-3.629975472083345), np.float64(-3.631162059318399), np.float64(-3.6614804255153786), np.float64(-3.680627178007228)]"
Nonlinear,"[np.float64(-3.519443106325525), np.float64(-3.5230676247528834), np.float64(-3.526545026476569), np.float64(-3.530331956389386), np.float64(-3.535072087711441), np.float64(-3.539092927688529), np.float64(-3.550611811696001), np.float64(-3.560927286224853), np.float64(-3.5760043139467825), np.float64(-3.58141080699113), np.float64(-3.5985024268503594), np.float64(-3.611953421006774), np.float64(-3.637314476476263), np.float64(-3.6638885669602246), np.float64(-3.6806270807397254)]"
Nonlinear,"[np.float64(-3.519443058028344), np.float64(-3.521002270179906), np.float64(-3.5256532851746982), np.float64(-3.533675673255445), np.float64(-3.535708571680537), np.float64(-3.539674471643508), np.float64(-3.549138783263402), np.float64(-3.566330874735854), np.float64(-3.569892075125381), np.float64(-3.580178141734166), np.float64(-3.6030545091853696), np.float64(-3.618493028980822), np.float64(-3.634901936432243), np.float64(-3.6524887398796864), np.float64(-3.680628754648069)]"
