delta,std
0.32321587004127506,0.4044294811082533
0.3212236255147487,0.4009309073319603
0.31584464564681985,0.3980513275412878
0.3151161012232507,0.3980936949100137
0.3109522499633601,0.39295237651243786
0.3096455538584145,0.3890269673892497
0.3062420053532898,0.38571109122717795
0.3081851366764689,0.38510861511865596
0.30113062429261456,0.37714202128015206
0.298661458237764,0.37952323635914564
0.2983390121789106,0.3793487176227495
0.3004106017630052,0.37543606753449704
0.30018619866224866,0.3744627856894668
0.2953125341025091,0.36967682303257693
0.2996265649892111,0.37354811635170515
0.2984857732634652,0.37173080073489073
0.3002250443545993,0.3748114188815859
0.30020500763960345,0.37533202026446677
0.30079865947677914,0.37960067263172653
0.29604806316617527,0.37324746986302365
0.2970609764868118,0.3683432147157826
0.2931511536843171,0.3638417729293984
0.2918416527201787,0.3610326290710484
0.2937240971005417,0.36228105922210957
0.2946319242041113,0.3636898043474953
0.29608912916700875,0.36172160783459767
0.2894651766052576,0.35784483492638663
0.28889069213023755,0.35455380183898577
0.29165012697073806,0.3535816566223415
0.28941303641393284,0.3509823376601715
0.2894131748462159,0.3488805736187451
0.2893348917500612,0.3476793261927474
0.2916017586294006,0.3505994269066231
0.2890230975955221,0.34694961688479176
0.2895971546002844,0.34782215200377375
0.2858165922593404,0.34518350597364367
0.28625663539504836,0.3468202955972954
0.2887165749137059,0.35198876675557683
0.2893140976370389,0.3505896494478665
0.2912228234300312,0.3502979460615307
0.2932316338821321,0.350573183574006
0.29189468246446515,0.3464631530503842
0.2924084982468064,0.34811954177440774
0.28962543194926355,0.3446298729813587
0.2909835672083589,0.34531997777981194
0.289418820757847,0.34420363522471575
0.2832695721930535,0.34132117269237977
0.28246874921260456,0.3396342128907948
0.2818007320094818,0.3379692836992433
0.28143849921632574,0.3382535466922842
0.2822850777342359,0.34055153264003374
0.2862344522528036,0.3462774938648008
0.2813552518601736,0.337838498766034
0.280862963844183,0.33369871133384255
0.2791306540093791,0.3335687664290782
0.2786885329830173,0.3306783184781798
0.27918752675265124,0.32965518562276036
0.2772221093132732,0.32580242963434036
0.2763094205896654,0.32702228928583343
0.2771148629538316,0.3265870737125566
0.28401466642912815,0.3298193183321945
0.28342998959850463,0.3289041942009461
0.2852332132921979,0.3303560950944275
0.28620680501430584,0.3333777774233105
0.2825722352254914,0.3305853278256745
0.2810539203666265,0.328466425562576
0.2831089467520434,0.328385566039014
0.2812720724088973,0.3272983085076269
0.2797968884791594,0.32575711874535546
0.276090133057963,0.3214695391512164
0.27576064861796157,0.3212662791000316
0.27496782043588913,0.3197255935475859
0.27396674997747666,0.31870362093486726
0.27416529643527154,0.3171787188549718
0.27104287382413816,0.3149439356098168
0.2701698970784962,0.3131601444555594
0.2689966519256802,0.3132769993937319
0.2682918721277616,0.3116408493536836
0.2680156933802093,0.3111494924542438
0.2673765449919139,0.31118578086921456
0.26704482634692644,0.3089438653080589
0.2664229175758796,0.3070008906963794
0.26973691149094675,0.30952711128337124
0.26839666996323575,0.31030872408100474
0.26785289115428607,0.3108434519307534
0.27178486464887386,0.3135262497816489
0.2752472488834316,0.317791723946053
0.27522805469371664,0.31614075591610746
0.27287141538422444,0.3133438606009411
0.26817588283187066,0.3101482427245477
0.2620939807593868,0.30624711673940447
0.26314990331255034,0.30762290156052347
0.2673354530192393,0.3090937693885664
0.2658543612619874,0.3063618230665369
0.26727897240501874,0.3057192289556422
0.2684116537676162,0.3062000813977861
0.2671394488360849,0.30528449879596314
0.2691448795707845,0.30623348517615706
0.2680723938127819,0.30424294360396736
0.270027270537059,0.3036331668529475
0.26620730359236305,0.300485625838936
0.26612934194712523,0.29742390237370736
0.26915524104323524,0.298492894250022
0.26718037970260966,0.2950470131590266
0.2670916922568614,0.29468169580991277
0.2657673695679671,0.29350132519184174
0.26313546974907054,0.2922919744339336
0.2625771150068468,0.2920195710451451
0.2619889303253896,0.29283494466739907
0.26104150696710876,0.29329634293077544
0.259858002268828,0.2929579659395857
0.25669238748344825,0.29090773864338254
0.25435641359819344,0.2896183555108343
0.2531184894956975,0.28855758218803246
0.25343547240096825,0.29013317031414254
0.25314744026881114,0.28835268017115945
0.2492139014768793,0.28653306819514957
0.2496850214556231,0.2881593395251455
0.25025261634844426,0.2874103440768588
0.24677924745091687,0.2835259425633299
0.24817651112979647,0.2824468812494483
0.2481023404033803,0.28263995852422363
0.2492165043091721,0.2833298248143102
0.25391032088709864,0.28757447538903563
0.25337312652099386,0.28719509639369156
0.25546735784550806,0.2884517802953522
0.25656373237282154,0.2876674578269403
0.2582739525700386,0.2888715369556584
0.259970462998143,0.289435962494621
0.2592858647195591,0.2897706724621039
0.25895321551101247,0.2892475168598926
